id,name,slug,barcode,category,brand,aggregate_stock,is_available,stock_by_capacity_json,capacity_field,capacity_labels,capacity_pricing_detail
1199,KWV Pinotage,kwv-wine-kwv-pinotage-750ml,,Wine,KWV Wine,10,true,,750ML.,750ML.,
1200,KWV Sauvignon Blanc,kwv-wine-kwv-sauvignon-blanc-750ml,,Wine,KWV Wine,10,true,,750ML.,750ML.,
1201,KWV Shiraz,kwv-wine-kwv-shiraz-750ml,,Wine,KWV Wine,10,true,,750ML.,750ML.,
1216,Kanonkop  Kadette Cabernet Sauvignon,kanonkop-wine-kanonkop-kadette-cabernet-sauvignon,,Wine,Kanonkop Wine,10,true,,,,
1217,Kanonkop Kadette Cape Blend,kanonkop-wine-kanonkop-kadette-cape-blend-750ml,,Wine,Kanonkop Wine,10,true,,750ML.,750ML.,
1218,Kanonkop Kadette Pinotage,kanonkop-wine-kanonkop-kadette-pinotage-750ml,,Wine,Kanonkop Wine,10,true,,750ml,750ml,
1220,Karlu Karlu Chardonnay Semilion,karlu-karlu-karlu-karlu-chardonnay-semilion-750ml,,Wine,Karlu Karlu,10,true,,750ML.,750ML.,
1221,Karlu Karlu Shiraz Cabernet,karlu-karlu-karlu-karlu-shiraz-cabernet-750ml,,Wine,Karlu Karlu,10,true,,750ml,750ml,
1222,Kawashima Ginjo Sake,kawashima-sake-kawashima-ginjo-sake-750ml,,Wine,Kawashima Sake,10,true,,750ML.,750ML.,
1223,Kawashima Junmai Shu Sake,kawashima-sake-kawashima-junmai-shu-sake-750ml,,Wine,Kawashima Sake,10,true,,750ML.,750ML.,
1224,Kenforester Petit Cabernet Sauvignon,ken-forester-vineyards-kenforester-petit-cabernet-sauvignon-750ml,,Wine,Ken forester Vineyards,10,true,,750ml,750ml,
1229,Keringet Sparkling Water,keringet-keringet-sparkling-water-1-litre,,Wine,Keringet,10,true,,1 Litre,1 Litre,
1233,Kia Ora Sauvignon Blanc,kia-ora-kia-ora-sauvignon-blanc-750ml,,Wine,Kia Ora,10,true,,750ML.,750ML.,
1253,L'Avenir Sauvignon Blanc,lavenir-lavenir-sauvignon-blanc-750ml,,Wine,L'Avenir,10,true,,750ML.,750ML.,
1254,L'Avenir Stellenbosch Red,lavenir-lavenir-stellenbosch-red-750ml,,Wine,L'Avenir,10,true,,750ML.,750ML.,
1256,La Fiole Cotes Du Rhone Red,la-fiole-cotes-du-rhone-la-fiole-cotes-du-rhone-red-750ml,,Wine,La Fiole Cotes Du Rhone,10,true,,750ML.,750ML.,
1257,La Fiole Cotes Du Rhone Reserve Red,la-fiole-cotes-du-rhone-la-fiole-cotes-du-rhone-reserve-red-750ml,,Wine,La Fiole Cotes Du Rhone,10,true,,750ML.,750ML.,
1258,La Fiole Cotes Du Rhone Rose,la-fiole-cotes-du-rhone-la-fiole-cotes-du-rhone-rose-750ml,,Wine,La Fiole Cotes Du Rhone,10,true,,750ML.,750ML.,
1259,La Motte Merlot,la-motte-la-motte-merlot-750ml,,Wine,La Motte,10,true,,750ml,750ml,
1278,Le Filou Grand Blanc,le-filou-le-filou-grand-blanc-750ml,,Wine,Le Filou,10,true,,750ML.,750ML.,
1279,Le Filou Grand Rouge,le-filou-le-filou-grand-rouge-750ml,,Wine,Le Filou,10,true,,750ML.,750ML.,
1285,Le Sweet Filou Blanc,le-filou-le-sweet-filou-blanc-750ml,,Wine,Le Filou,10,true,,750ML.,750ML.,
1286,Le Sweet Filou Rose,le-filou-le-sweet-filou-rose-750ml,,Wine,Le Filou,10,true,,750ML.,750ML.,
1287,Le Sweet Filou Rouge,le-filou-le-sweet-filou-rouge-750ml,,Wine,Le Filou,10,true,,750ML.,750ML.,
1281,Le Grand Noir Cabernet Sauvignon,le-grand-noir-le-grand-noir-cabernet-sauvignon-750ml,,Wine,Le Grand Noir,10,true,,750ML.,750ML.,
1282,Le Grand Noir Malbec,le-grand-noir-le-grand-noir-malbec-750ml,,Wine,Le Grand Noir,10,true,,750ML.,750ML.,
1283,Le Grand Noir Merlot,le-grand-noir-le-grand-noir-merlot-750ml,,Wine,Le Grand Noir,10,true,,750ml,750ml,
1284,Le Grand Noir Sauvignon Blanc,le-grand-noir-le-grand-noir-sauvignon-blanc-750ml,,Wine,Le Grand Noir,10,true,,750ML.,750ML.,
1290,Leleshwa Chenin Blanc,leleshwa-wines-leleshwa-chenin-blanc-750ml,,Wine,Leleshwa wines,10,true,,750ML.,750ML.,
1291,Leleshwa Merlot Shiraz,leleshwa-wines-leleshwa-merlot-shiraz-750ml,,Wine,Leleshwa wines,10,true,,750ML.,750ML.,
1292,Leleshwa Rose,leleshwa-wines-leleshwa-rose-750ml,,Wine,Leleshwa wines,10,true,,750ML.,750ML.,
1293,Leleshwa Sauvignon Blanc,leleshwa-wines-leleshwa-sauvignon-blanc-750ml,,Wine,Leleshwa wines,10,true,,750ML.,750ML.,
1294,Leleshwa Sweet Wine,leleshwa-wines-leleshwa-sweet-wine-750ml,,Wine,Leleshwa wines,10,true,,750ML.,750ML.,
1296,Lenotti Decus Bardolino Chiaretto Rose,lenotti-lenotti-decus-bardolino-chiaretto-rose-750ml,,Wine,Lenotti,10,true,,750ML.,750ML.,
1297,Lenotti Recioto Valpolicella,lenotti-lenotti-recioto-valpolicella-500ml,,Wine,Lenotti,10,true,,500ml,500ml,
